business_id,business_name,city_id,city_name,category_id,category_name,directory_path,directory_url,domain,homepage_url,best_contact_method,preferred_contact,existing_email,visible_emails,guessed_emails,phone_numbers,contact_pages,contact_forms,social_links,mx_hosts,notes
vernon-electricians-15663829649205899086,1 & 2 Electrical Solutions Ltd,vernon,Vernon,electricians,Electricians,/vernon/electricians/vernon-electricians-15663829649205899086,https://okanagantradesdirectory.com/vernon/electricians/vernon-electricians-15663829649205899086,1and2electric.com,https://1and2electric.com/,email,1and2info@eslgroup.ca,,1and2info@eslgroup.ca | info@1and2electric.com,,+1 250-545-3254 | (250) 545-3254,https://1and2electric.com/our-company | https://1and2electric.com/contact | https://1and2electric.com/about-us,,https://www.facebook.com/pages/1-2-Electric-Ltd/157256090985735 | #facebook-unauth-icon | #facebook-unauth-mask | https://www.instagram.com/1and2electric/ | #instagram-unauth-icon | #instagram-unauth-mask,1and2electric-com.mail.protection.outlook.com | mx1-us1.ppe-hosted.com | mx2-us1.ppe-hosted.com,https://1and2electric.com/contact-us: HTTP 404 | https://1and2electric.com/about: HTTP 404
penticton-landscapers-3358765590107306516,2Elements Landscaping Ltd.,penticton,Penticton,landscapers,Landscapers,/penticton/landscapers/penticton-landscapers-3358765590107306516,https://okanagantradesdirectory.com/penticton/landscapers/penticton-landscapers-3358765590107306516,2elementslandscaping.com,http://www.2elementslandscaping.com/,email,2elementslandscaping@gmail.com,,2elementslandscaping@gmail.com,,+1 778-846-5080 | 778 846 5080 | 778-846-5080,https://2elementslandscaping.com/contact-us/ | https://2elementslandscaping.com/about-us/,https://2elementslandscaping.com/#wpcf7-f979-p67-o1 | https://2elementslandscaping.com/contact-us/#wpcf7-f977-p73-o1,https://2elementslandscaping.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.10.0 | https://web.facebook.com/2Elementslandscaping/ | https://twitter.com/2elementslandsc | https://www.instagram.com/2elementslandscaping/ | https://facebook.com/ | https://twitter.com/ | https://www.instagram.com/,,http://www.2elementslandscaping.com/team: HTTP 404
penticton-painters-ChIJO1kv_eWJglQRtIptrf0I3ns,360 Sandblasting and Painting inc.,penticton,Penticton,painters,Painters,/penticton/painters/penticton-painters-ChIJO1kv_eWJglQRtIptrf0I3ns,https://okanagantradesdirectory.com/penticton/painters/penticton-painters-ChIJO1kv_eWJglQRtIptrf0I3ns,360blasting.com,http://360blasting.com/,email,results@360blasting.com,,results@360blasting.com,,+1 250-493-8877 | 250.493.8877,https://www.360blasting.com/contact,,https://www.instagram.com/360sandblastingandpaintinginc/ | https://www.linkedin.com/in/mike-friesen-61932112/,alt1.aspmx.l.google.com | alt2.aspmx.l.google.com | aspmx.l.google.com | aspmx2.googlemail.com | aspmx3.googlemail.com,http://360blasting.com/contact-us: HTTP 404 | http://360blasting.com/about: HTTP 404 | http://360blasting.com/about-us: HTTP 404 | http://360blasting.com/team: HTTP 404
kelowna-insulation-contractors-ChIJ__8reC3zfVMRgjKxe04x17E,360 Insulation,kelowna,Kelowna,insulation-contractors,Insulation Contractors,/kelowna/insulation-contractors/kelowna-insulation-contractors-ChIJ__8reC3zfVMRgjKxe04x17E,https://okanagantradesdirectory.com/kelowna/insulation-contractors/kelowna-insulation-contractors-ChIJ__8reC3zfVMRgjKxe04x17E,360insulation.ca,http://360insulation.ca/,email,chase@360vcm.com,,chase@360vcm.com,,+1 250-899-5930 | (306) 402-7210 | (250) 899-5930,https://www.360insulation.ca/about | https://www.360insulation.ca/contact-us,,https://www.facebook.com/profile.php?id=61552062675090 | #facebook-unauth-icon | https://www.instagram.com/360insulation/ | #instagram-unauth-icon,,http://360insulation.ca/contact: HTTP 404 | http://360insulation.ca/about-us: HTTP 404 | http://360insulation.ca/team: HTTP 404
kelowna-glass-glaziers-ChIJIafsgbHzfVMRRi_KVwD2wRU,365 Auto glass,kelowna,Kelowna,glass-glaziers,Glass / Glaziers,/kelowna/glass-glaziers/kelowna-glass-glaziers-ChIJIafsgbHzfVMRRi_KVwD2wRU,https://okanagantradesdirectory.com/kelowna/glass-glaziers/kelowna-glass-glaziers-ChIJIafsgbHzfVMRRi_KVwD2wRU,365autoglass.ca,http://www.365autoglass.ca/,email,info@365autoglass.ca,,info@365autoglass.ca,,+1 778-639-0004 | (778) 639-0004,http://www.365autoglass.ca/about_us.html | http://www.365autoglass.ca/,,https://www.facebook.com/profile.php?id=100069136615475 | https://www.instagram.com/365autoglasscanada?igsh=MTFxN2M1YzQ1bGNmOA==,365autoglass-ca.mail.protection.outlook.com,http://www.365autoglass.ca/contact: HTTP 404 | http://www.365autoglass.ca/contact-us: HTTP 404 | http://www.365autoglass.ca/about: HTTP 404
kelowna-general-contractors-13945745149116717061,3rd Generation Homes Ltd.,kelowna,Kelowna,general-contractors,General Contractors,/kelowna/general-contractors/kelowna-general-contractors-13945745149116717061,https://okanagantradesdirectory.com/kelowna/general-contractors/kelowna-general-contractors-13945745149116717061,3rdgenhomes.com,https://www.3rdgenhomes.com/,email,office@3rdgenhomes.com,,office@3rdgenhomes.com,,+1 250-300-5262 | 250.300.5262,https://www.3rdgenhomes.com/contact/ | https://www.3rdgenhomes.com/about/ | https://www.3rdgenhomes.com/team/,https://www.3rdgenhomes.com/,https://www.youtube.com/watch?v=ds4_pD2eW9I | https://www.instagram.com/3rdgenerationhomes/ | https://www.facebook.com/3rdGenHomes/,3rdgenhomes-com.mail.protection.outlook.com,https://www.3rdgenhomes.com/contact-us: HTTP 404
kamloops-cabinet-makers-millwork-ChIJPaSDoQYtflMRlLZ4MQw5gSk,4JS Custom Millwork and Contracting Ltd.,kamloops,Kamloops,cabinet-makers-millwork,Cabinet Makers / Millwork,/kamloops/cabinet-makers-millwork/kamloops-cabinet-makers-millwork-ChIJPaSDoQYtflMRlLZ4MQw5gSk,https://okanagantradesdirectory.com/kamloops/cabinet-makers-millwork/kamloops-cabinet-makers-millwork-ChIJPaSDoQYtflMRlLZ4MQw5gSk,4js.ca,http://www.4js.ca/,email,admin@4js.ca,,admin@4js.ca,,+1 250-682-1352 | (250) 682 1352,https://www.4js.ca/,https://www.4js.ca/,https://www.4js.ca/wp-content/plugins/custom-facebook-feed-pro/assets/css/cff-style.min.css?ver=4.7.4 | https://facebook.com/260309604604806 | https://facebook.com/634614079897690 | https://facebook.com/153105491539317 | https://facebook.com/1706161109403734 | https://facebook.com/477057312380878 | https://facebook.com/2196934187037996 | https://facebook.com/127909327390658 | https://facebook.com/130911010428452 | https://www.facebook.com/photo.php?fbid=1122105426588208&amp;set=a.499458108852946&amp;type=3 | https://www.facebook.com/260309604604806_1122105453254872 | https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1122105453254872 | https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1122105453254872 | https://www.linkedin.com/shareArticle?mini=true&#038;url=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1122105453254872&#038;title=%09Anything%20custom%20is%20our%20expertise%20%F0%9F%A4%8CDo%20you%20need%20more%20storage%20for%20your%20books%3F%20Or%20have%20an%20okward%20space%20that%20could%20use%20some%20attention...Reach%20out%20to%20us%20at%20admin%404js.ca%20and%20we%20can%20help%20you%20make%20that%20space%20better%20with%20custom%20fitted%20millwork.www.4js.ca%2F%40interiorelitecontracting%20%23whereideasbecomereality%23CustomMillwork%20%23custombuildins%20%23custombookcase%20%23KamloopsCustom%20%23bookstore%20%23StorageSolutions%20%09%09 | mailto:?subject=Facebook&#038;body=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1122105453254872%20-%20%0A%09Anything%20custom%20is%20our%20expertise%20%F0%9F%A4%8CDo%20you%20need%20more%20storage%20for%20your%20books%3F%20Or%20have%20an%20okward%20space%20that%20could%20use%20some%20attention...Reach%20out%20to%20us%20at%20admin%404js.ca%20and%20we%20can%20help%20you%20make%20that%20space%20better%20with%20custom%20fitted%20millwork.www.4js.ca%2F%40interiorelitecontracting%20%23whereideasbecomereality%23CustomMillwork%20%23custombuildins%20%23custombookcase%20%23KamloopsCustom%20%23bookstore%20%23StorageSolutions%20%09%0A%09 | https://facebook.com/115305908674956 | https://facebook.com/3536827523001649 | https://facebook.com/342593822531339 | https://facebook.com/317411321718777 | https://facebook.com/479895882091135 | https://www.facebook.com/photo.php?fbid=1105364421595642&amp;set=a.499458108852946&amp;type=3 | https://www.facebook.com/260309604604806_1105364444928973 | https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1105364444928973 | https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1105364444928973 | https://www.linkedin.com/shareArticle?mini=true&#038;url=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1105364444928973&#038;title=%09%F0%9F%92%ABHappy%20Monday%21We%20had%20fun%20with%20this%20one.%20Unique%20client%20with%20specific%20wish%20-%20raw%20copper%20wrapped%20around%20custom%20shape%20and%20then%20seeled%20to%20maintain%20it%26%23039%3Bs%20original%20color.This%20hood%20fan%20cover%20sure%20made%20this%20kitchen%20special%20%F0%9F%91%8Cwww.4js.ca%2FInterior%20Elite%20Contracting%20Ltd.%20%23Whereideasbecomereality%23rawcopper%20%23copperhoodfan%20%23customhoodcover%20%23customkitchens%20%23uniquekitchens%20%09%09 | mailto:?subject=Facebook&#038;body=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1105364444928973%20-%20%0A%09%F0%9F%92%ABHappy%20Monday%21We%20had%20fun%20with%20this%20one.%20Unique%20client%20with%20specific%20wish%20-%20raw%20copper%20wrapped%20around%20custom%20shape%20and%20then%20seeled%20to%20maintain%20it%26%23039%3Bs%20original%20color.This%20hood%20fan%20cover%20sure%20made%20this%20kitchen%20special%20%F0%9F%91%8Cwww.4js.ca%2FInterior%20Elite%20Contracting%20Ltd.%20%23Whereideasbecomereality%23rawcopper%20%23copperhoodfan%20%23customhoodcover%20%23customkitchens%20%23uniquekitchens%20%09%0A%09 | https://facebook.com/220496294742395 | https://facebook.com/2325472334161253 | https://facebook.com/2002218109807225 | https://facebook.com/410441172405923 | https://facebook.com/595698720443335 | https://www.facebook.com/photo.php?fbid=1100686158730135&amp;set=a.499458102186280&amp;type=3 | https://www.facebook.com/260309604604806_1100686182063466 | https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1100686182063466 | https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1100686182063466 | https://www.linkedin.com/shareArticle?mini=true&#038;url=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1100686182063466&#038;title=%09%F0%9F%92%A5Before%20and%20afterSuch%20a%20difference%20-%20changing%20up%20the%20layout%2C%20moving%20doors%2C%20and%20removing%20closet%20-%20opened%20this%20space%20up%20as%20per%20client%26%23039%3Bs%20desires...%20Anything%20is%20possible%20%F0%9F%92%ABwww.4js.ca%2F%23Whereideasbecomereality%20%23kitchenrenovation%20%23kamloopskitchens%20%23customkitchens%20%23kamloopsrenovations%20%23bluekitchencabinets%20%23kitchencabinets%20%09%09 | mailto:?subject=Facebook&#038;body=https%3A%2F%2Fwww.facebook.com%2F260309604604806_1100686182063466%20-%20%0A%09%F0%9F%92%A5Before%20and%20afterSuch%20a%20difference%20-%20changing%20up%20the%20layout%2C%20moving%20doors%2C%20and%20removing%20closet%20-%20opened%20this%20space%20up%20as%20per%20client%26%23039%3Bs%20desires...%20Anything%20is%20possible%20%F0%9F%92%ABwww.4js.ca%2F%23Whereideasbecomereality%20%23kitchenrenovation%20%23kamloopskitchens%20%23customkitchens%20%23kamloopsrenovations%20%23bluekitchencabinets%20%23kitchencabinets%20%09%0A%09 | https://www.facebook.com/profile.php?id=100063662822252 | https://www.instagram.com/4jscustommillwork/?hl=en,4js-ca.mail.protection.outlook.com,http://www.4js.ca/contact: HTTP 404 | http://www.4js.ca/contact-us: HTTP 404 | http://www.4js.ca/about: HTTP 404 | http://www.4js.ca/about-us: HTTP 404
kelowna-general-contractors-ChIJ80OUQ0XzfVMRmJ76qAS8-CI,4 Point Contracting,kelowna,Kelowna,general-contractors,General Contractors,/kelowna/general-contractors/kelowna-general-contractors-ChIJ80OUQ0XzfVMRmJ76qAS8-CI,https://okanagantradesdirectory.com/kelowna/general-contractors/kelowna-general-contractors-ChIJ80OUQ0XzfVMRmJ76qAS8-CI,4pointcontracting.com,https://www.4pointcontracting.com/,phone_only,+1 250-215-8986,,,,+1 250-215-8986,,,,,fetch failed
kelowna-stucco-plastering-eifs-ChIJp5v7-KqNfVMR3iMgqVDIsZI,5 River Stucco,kelowna,Kelowna,stucco-plastering-eifs,Stucco / Plastering / EIFS,/kelowna/stucco-plastering-eifs/kelowna-stucco-plastering-eifs-ChIJp5v7-KqNfVMR3iMgqVDIsZI,https://okanagantradesdirectory.com/kelowna/stucco-plastering-eifs/kelowna-stucco-plastering-eifs-ChIJp5v7-KqNfVMR3iMgqVDIsZI,5riverstucco.ca,http://5riverstucco.ca/,email,5riverstucco@gmail.com,,5riverstucco@gmail.com,,+1 250-300-0010 | 250-300-0010 | 212-946-2707,https://5riverstucco.ca/about/ | https://5riverstucco.ca/contact/,https://5riverstucco.ca/ | https://5riverstucco.ca/contact/#wpcf7-f586-p1169-o1,https://www.facebook.com | https://www.twitter.com | https://www.instagram.com | https://www.linkedin.com,mailstore1.secureserver.net | smtp.secureserver.net,http://5riverstucco.ca/contact-us: HTTP 404
kelowna-welding-metal-fabrication-9009481704838480194,5th Element Manufacturing,kelowna,Kelowna,welding-metal-fabrication,Welding / Metal Fabrication,/kelowna/welding-metal-fabrication/kelowna-welding-metal-fabrication-9009481704838480194,https://okanagantradesdirectory.com/kelowna/welding-metal-fabrication/kelowna-welding-metal-fabrication-9009481704838480194,5thelementmfg.com,https://5thelementmfg.com/,email,sales@5thelementmfg.com,,sales@5thelementmfg.com,,+1 250-491-0299 | 250-491-0299,https://www.5thelementmfg.com/about | https://www.5thelementmfg.com/contact-us,,https://www.facebook.com/5thelementinnovation/ | #facebook-unauth-icon | #facebook-unauth-mask | https://www.instagram.com/5thelementmfg/ | #instagram-unauth-icon | #instagram-unauth-mask | https://www.youtube.com/@5thELEMENTmfg/channels | #youtube-unauth-icon | #youtube-unauth-mask | https://ca.linkedin.com/company/5th-element-innovation-manufacturing-ltd | #linkedin-unauth-icon | #linkedin-unauth-mask,5thelementmfg-com.mail.protection.outlook.com,https://5thelementmfg.com/contact: HTTP 404 | https://5thelementmfg.com/about-us: HTTP 404 | https://5thelementmfg.com/team: HTTP 404
